# Time,  X_Simple,  X_Modified,  X_Improved,  X_exact,  Y_Simple,  Y_Modified,  Y_Improved,  Y_exact
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.125000	0.125000	0.125000	0.125000	0.216506	0.216016	0.216016	0.216016
0.020000	0.250000	0.250000	0.250000	0.250000	0.432032	0.431051	0.431051	0.431051
0.030000	0.375000	0.375000	0.375000	0.375000	0.646576	0.645105	0.645105	0.645105
0.040000	0.500000	0.500000	0.500000	0.500000	0.860139	0.858177	0.858177	0.858177
0.050000	0.625000	0.625000	0.625000	0.625000	1.072722	1.070269	1.070269	1.070269
0.060000	0.750000	0.750000	0.750000	0.750000	1.284323	1.281380	1.281380	1.281380
0.070000	0.875000	0.875000	0.875000	0.875000	1.494943	1.491510	1.491510	1.491510
0.080000	1.000000	1.000000	1.000000	1.000000	1.704583	1.700659	1.700659	1.700659
0.090000	1.125000	1.125000	1.125000	1.125000	1.913241	1.908827	1.908827	1.908827
0.100000	1.250000	1.250000	1.250000	1.250000	2.120919	2.116014	2.116014	2.116014
0.110000	1.375000	1.375000	1.375000	1.375000	2.327615	2.322219	2.322219	2.322219
0.120000	1.500000	1.500000	1.500000	1.500000	2.533330	2.527444	2.527444	2.527444
0.130000	1.625000	1.625000	1.625000	1.625000	2.738065	2.731688	2.731688	2.731688
0.140000	1.750000	1.750000	1.750000	1.750000	2.941818	2.934951	2.934951	2.934951
0.150000	1.875000	1.875000	1.875000	1.875000	3.144590	3.137233	3.137233	3.137233
0.160000	2.000000	2.000000	2.000000	2.000000	3.346382	3.338534	3.338534	3.338534
0.170000	2.125000	2.125000	2.125000	2.125000	3.547192	3.538853	3.538853	3.538853
0.180000	2.250000	2.250000	2.250000	2.250000	3.747021	3.738192	3.738192	3.738192
0.190000	2.375000	2.375000	2.375000	2.375000	3.945870	3.936550	3.936550	3.936550
0.200000	2.500000	2.500000	2.500000	2.500000	4.143737	4.133927	4.133927	4.133927
0.210000	2.625000	2.625000	2.625000	2.625000	4.340623	4.330323	4.330323	4.330323
0.220000	2.750000	2.750000	2.750000	2.750000	4.536529	4.525738	4.525738	4.525738
0.230000	2.875000	2.875000	2.875000	2.875000	4.731453	4.720172	4.720172	4.720172
0.240000	3.000000	3.000000	3.000000	3.000000	4.925396	4.913624	4.913624	4.913624
0.250000	3.125000	3.125000	3.125000	3.125000	5.118359	5.106096	5.106096	5.106096
0.260000	3.250000	3.250000	3.250000	3.250000	5.310340	5.297587	5.297587	5.297587
0.270000	3.375000	3.375000	3.375000	3.375000	5.501340	5.488097	5.488097	5.488097
0.280000	3.500000	3.500000	3.500000	3.500000	5.691360	5.677626	5.677626	5.677626
0.290000	3.625000	3.625000	3.625000	3.625000	5.880398	5.866174	5.866174	5.866174
0.300000	3.750000	3.750000	3.750000	3.750000	6.068456	6.053741	6.053741	6.053741
0.310000	3.875000	3.875000	3.875000	3.875000	6.255532	6.240326	6.240326	6.240326
0.320000	4.000000	4.000000	4.000000	4.000000	6.441627	6.425931	6.425931	6.425931
0.330000	4.125000	4.125000	4.125000	4.125000	6.626742	6.610555	6.610555	6.610555
0.340000	4.250000	4.250000	4.250000	4.250000	6.810875	6.794198	6.794198	6.794198
0.350000	4.375000	4.375000	4.375000	4.375000	6.994027	6.976860	6.976860	6.976860
0.360000	4.500000	4.500000	4.500000	4.500000	7.176199	7.158541	7.158541	7.158541
0.370000	4.625000	4.625000	4.625000	4.625000	7.357389	7.339240	7.339240	7.339240
0.380000	4.750000	4.750000	4.750000	4.750000	7.537598	7.518959	7.518959	7.518959
0.390000	4.875000	4.875000	4.875000	4.875000	7.716827	7.697697	7.697697	7.697697
0.400000	5.000000	5.000000	5.000000	5.000000	7.895074	7.875454	7.875454	7.875454
0.410000	5.125000	5.125000	5.125000	5.125000	8.072340	8.052230	8.052230	8.052230
0.420000	5.250000	5.250000	5.250000	5.250000	8.248626	8.228025	8.228025	8.228025
0.430000	5.375000	5.375000	5.375000	5.375000	8.423930	8.402839	8.402839	8.402839
0.440000	5.500000	5.500000	5.500000	5.500000	8.598253	8.576671	8.576671	8.576671
0.450000	5.625000	5.625000	5.625000	5.625000	8.771596	8.749523	8.749523	8.749523
0.460000	5.750000	5.750000	5.750000	5.750000	8.943957	8.921394	8.921394	8.921394
0.470000	5.875000	5.875000	5.875000	5.875000	9.115337	9.092284	9.092284	9.092284
0.480000	6.000000	6.000000	6.000000	6.000000	9.285737	9.262193	9.262193	9.262193
0.490000	6.125000	6.125000	6.125000	6.125000	9.455155	9.431121	9.431121	9.431121
0.500000	6.250000	6.250000	6.250000	6.250000	9.623593	9.599068	9.599068	9.599068
0.510000	6.375000	6.375000	6.375000	6.375000	9.791049	9.766033	9.766033	9.766033
0.520000	6.500000	6.500000	6.500000	6.500000	9.957524	9.932018	9.932018	9.932018
0.530000	6.625000	6.625000	6.625000	6.625000	10.123019	10.097022	10.097022	10.097022
0.540000	6.750000	6.750000	6.750000	6.750000	10.287532	10.261045	10.261045	10.261045
0.550000	6.875000	6.875000	6.875000	6.875000	10.451064	10.424087	10.424087	10.424087
0.560000	7.000000	7.000000	7.000000	7.000000	10.613616	10.586148	10.586148	10.586148
0.570000	7.125000	7.125000	7.125000	7.125000	10.775186	10.747228	10.747228	10.747228
0.580000	7.250000	7.250000	7.250000	7.250000	10.935775	10.907326	10.907326	10.907326
0.590000	7.375000	7.375000	7.375000	7.375000	11.095384	11.066444	11.066444	11.066444
